"experiment_id","task_type","categorical_scheme","feature_method","n_components","model_name","backend","glmnet_alpha","seed","rho","label_strength","mcem_samples"
"EXP021_binary_ICAk50_glmnet_ridge_seed2026","binary","three_stage","ICA",50,"glmnet_ridge","glmnet",0,2026,0.7,0.7,30
"EXP022_binary_ICAk50_glmnet_elasticnet_seed2026","binary","three_stage","ICA",50,"glmnet_elasticnet","glmnet",0.5,2026,0.7,0.7,30
"EXP023_binary_ICAk50_glmnet_lasso_seed2026","binary","three_stage","ICA",50,"glmnet_lasso","glmnet",1,2026,0.7,0.7,30
"EXP024_binary_ICAk50_xgboost_seed2026","binary","three_stage","ICA",50,"xgboost","xgboost",NA,2026,0.7,0.7,30
"EXP025_binary_NMFk10_glmnet_ridge_seed2026","binary","three_stage","NMF",10,"glmnet_ridge","glmnet",0,2026,0.7,0.7,30
"EXP026_binary_NMFk10_glmnet_elasticnet_seed2026","binary","three_stage","NMF",10,"glmnet_elasticnet","glmnet",0.5,2026,0.7,0.7,30
"EXP027_binary_NMFk10_glmnet_lasso_seed2026","binary","three_stage","NMF",10,"glmnet_lasso","glmnet",1,2026,0.7,0.7,30
"EXP028_binary_NMFk10_xgboost_seed2026","binary","three_stage","NMF",10,"xgboost","xgboost",NA,2026,0.7,0.7,30
"EXP029_binary_NMFk20_glmnet_ridge_seed2026","binary","three_stage","NMF",20,"glmnet_ridge","glmnet",0,2026,0.7,0.7,30
"EXP030_binary_NMFk20_glmnet_elasticnet_seed2026","binary","three_stage","NMF",20,"glmnet_elasticnet","glmnet",0.5,2026,0.7,0.7,30
"EXP031_binary_NMFk20_glmnet_lasso_seed2026","binary","three_stage","NMF",20,"glmnet_lasso","glmnet",1,2026,0.7,0.7,30
"EXP032_binary_NMFk20_xgboost_seed2026","binary","three_stage","NMF",20,"xgboost","xgboost",NA,2026,0.7,0.7,30
"EXP033_binary_NMFk50_glmnet_ridge_seed2026","binary","three_stage","NMF",50,"glmnet_ridge","glmnet",0,2026,0.7,0.7,30
"EXP034_binary_NMFk50_glmnet_elasticnet_seed2026","binary","three_stage","NMF",50,"glmnet_elasticnet","glmnet",0.5,2026,0.7,0.7,30
"EXP035_binary_NMFk50_glmnet_lasso_seed2026","binary","three_stage","NMF",50,"glmnet_lasso","glmnet",1,2026,0.7,0.7,30
"EXP036_binary_NMFk50_xgboost_seed2026","binary","three_stage","NMF",50,"xgboost","xgboost",NA,2026,0.7,0.7,30
"EXP037_categorical_three_stage_PCAk10_glmnet_ridge_seed2026","categorical","three_stage","PCA",10,"glmnet_ridge","glmnet",0,2026,0.7,0.7,30
"EXP038_categorical_three_stage_PCAk10_glmnet_elasticnet_seed2026","categorical","three_stage","PCA",10,"glmnet_elasticnet","glmnet",0.5,2026,0.7,0.7,30
"EXP039_categorical_three_stage_PCAk10_glmnet_lasso_seed2026","categorical","three_stage","PCA",10,"glmnet_lasso","glmnet",1,2026,0.7,0.7,30
"EXP040_categorical_three_stage_PCAk10_xgboost_seed2026","categorical","three_stage","PCA",10,"xgboost","xgboost",NA,2026,0.7,0.7,30
"EXP041_categorical_three_stage_PCAk20_glmnet_ridge_seed2026","categorical","three_stage","PCA",20,"glmnet_ridge","glmnet",0,2026,0.7,0.7,30
"EXP042_categorical_three_stage_PCAk20_glmnet_elasticnet_seed2026","categorical","three_stage","PCA",20,"glmnet_elasticnet","glmnet",0.5,2026,0.7,0.7,30
"EXP043_categorical_three_stage_PCAk20_glmnet_lasso_seed2026","categorical","three_stage","PCA",20,"glmnet_lasso","glmnet",1,2026,0.7,0.7,30
"EXP044_categorical_three_stage_PCAk20_xgboost_seed2026","categorical","three_stage","PCA",20,"xgboost","xgboost",NA,2026,0.7,0.7,30
"EXP045_categorical_three_stage_PCAk50_glmnet_ridge_seed2026","categorical","three_stage","PCA",50,"glmnet_ridge","glmnet",0,2026,0.7,0.7,30
"EXP046_categorical_three_stage_PCAk50_glmnet_elasticnet_seed2026","categorical","three_stage","PCA",50,"glmnet_elasticnet","glmnet",0.5,2026,0.7,0.7,30
"EXP047_categorical_three_stage_PCAk50_glmnet_lasso_seed2026","categorical","three_stage","PCA",50,"glmnet_lasso","glmnet",1,2026,0.7,0.7,30
"EXP048_categorical_three_stage_PCAk50_xgboost_seed2026","categorical","three_stage","PCA",50,"xgboost","xgboost",NA,2026,0.7,0.7,30
"EXP049_categorical_three_stage_ICAk10_glmnet_ridge_seed2026","categorical","three_stage","ICA",10,"glmnet_ridge","glmnet",0,2026,0.7,0.7,30
"EXP050_categorical_three_stage_ICAk10_glmnet_elasticnet_seed2026","categorical","three_stage","ICA",10,"glmnet_elasticnet","glmnet",0.5,2026,0.7,0.7,30
"EXP051_categorical_three_stage_ICAk10_glmnet_lasso_seed2026","categorical","three_stage","ICA",10,"glmnet_lasso","glmnet",1,2026,0.7,0.7,30
"EXP052_categorical_three_stage_ICAk10_xgboost_seed2026","categorical","three_stage","ICA",10,"xgboost","xgboost",NA,2026,0.7,0.7,30
"EXP053_categorical_three_stage_ICAk20_glmnet_ridge_seed2026","categorical","three_stage","ICA",20,"glmnet_ridge","glmnet",0,2026,0.7,0.7,30
"EXP054_categorical_three_stage_ICAk20_glmnet_elasticnet_seed2026","categorical","three_stage","ICA",20,"glmnet_elasticnet","glmnet",0.5,2026,0.7,0.7,30
"EXP055_categorical_three_stage_ICAk20_glmnet_lasso_seed2026","categorical","three_stage","ICA",20,"glmnet_lasso","glmnet",1,2026,0.7,0.7,30
"EXP056_categorical_three_stage_ICAk20_xgboost_seed2026","categorical","three_stage","ICA",20,"xgboost","xgboost",NA,2026,0.7,0.7,30
"EXP057_categorical_three_stage_ICAk50_glmnet_ridge_seed2026","categorical","three_stage","ICA",50,"glmnet_ridge","glmnet",0,2026,0.7,0.7,30
"EXP058_categorical_three_stage_ICAk50_glmnet_elasticnet_seed2026","categorical","three_stage","ICA",50,"glmnet_elasticnet","glmnet",0.5,2026,0.7,0.7,30
"EXP059_categorical_three_stage_ICAk50_glmnet_lasso_seed2026","categorical","three_stage","ICA",50,"glmnet_lasso","glmnet",1,2026,0.7,0.7,30
"EXP060_categorical_three_stage_ICAk50_xgboost_seed2026","categorical","three_stage","ICA",50,"xgboost","xgboost",NA,2026,0.7,0.7,30
"EXP061_categorical_three_stage_NMFk10_glmnet_ridge_seed2026","categorical","three_stage","NMF",10,"glmnet_ridge","glmnet",0,2026,0.7,0.7,30
"EXP062_categorical_three_stage_NMFk10_glmnet_elasticnet_seed2026","categorical","three_stage","NMF",10,"glmnet_elasticnet","glmnet",0.5,2026,0.7,0.7,30
"EXP063_categorical_three_stage_NMFk10_glmnet_lasso_seed2026","categorical","three_stage","NMF",10,"glmnet_lasso","glmnet",1,2026,0.7,0.7,30
"EXP064_categorical_three_stage_NMFk10_xgboost_seed2026","categorical","three_stage","NMF",10,"xgboost","xgboost",NA,2026,0.7,0.7,30
"EXP065_categorical_three_stage_NMFk20_glmnet_ridge_seed2026","categorical","three_stage","NMF",20,"glmnet_ridge","glmnet",0,2026,0.7,0.7,30
"EXP066_categorical_three_stage_NMFk20_glmnet_elasticnet_seed2026","categorical","three_stage","NMF",20,"glmnet_elasticnet","glmnet",0.5,2026,0.7,0.7,30
"EXP067_categorical_three_stage_NMFk20_glmnet_lasso_seed2026","categorical","three_stage","NMF",20,"glmnet_lasso","glmnet",1,2026,0.7,0.7,30
"EXP068_categorical_three_stage_NMFk20_xgboost_seed2026","categorical","three_stage","NMF",20,"xgboost","xgboost",NA,2026,0.7,0.7,30
"EXP069_categorical_three_stage_NMFk50_glmnet_ridge_seed2026","categorical","three_stage","NMF",50,"glmnet_ridge","glmnet",0,2026,0.7,0.7,30
"EXP070_categorical_three_stage_NMFk50_glmnet_elasticnet_seed2026","categorical","three_stage","NMF",50,"glmnet_elasticnet","glmnet",0.5,2026,0.7,0.7,30
"EXP071_categorical_three_stage_NMFk50_glmnet_lasso_seed2026","categorical","three_stage","NMF",50,"glmnet_lasso","glmnet",1,2026,0.7,0.7,30
"EXP072_categorical_three_stage_NMFk50_xgboost_seed2026","categorical","three_stage","NMF",50,"xgboost","xgboost",NA,2026,0.7,0.7,30
